"GYARTMANY_NEV";"GYARTMANY_KOD";"TIPUS_NEV";"TIPUS_KOD";"FAJTA_NEV";"FAJTA_KOD"
"A M C";"5922";"CHEROKEE";"28175";"Tehergépkocsi";"2"
"A M C";"5922";"CJ 7";"57007";"Személygépkocsi";"1"
"A M C";"5922";"CJ 7";"57007";"Tehergépkocsi";"2"
"A M C";"5922";"COMANCHE";"28176";"Tehergépkocsi";"2"
"A M C";"5922";"CONCORD DL";"28177";"Személygépkocsi";"1"
"A M C";"5922";"EAGLE";"28178";"Személygépkocsi";"1"
"A M C";"5922";"EAGLE";"28178";"Tehergépkocsi";"2"
"A M C";"5922";"GREMLIN";"28179";"Személygépkocsi";"1"
"A M C";"5922";"LAREDO CJ 7";"28180";"Tehergépkocsi";"2"
"A M C";"5922";"MATADOR";"28181";"Személygépkocsi";"1"
"A M C";"5922";"PACER";"28182";"Személygépkocsi";"1"
"A. UNTERHOLZNER";"6328";"12 T 0 KHM 35";"32404";"Pótkocsi";"6"
"A VALCKE";"6327";"A 3100";"32403";"Pótkocsi";"6"
"A.A.HAHN";"12293";"H7";"61595";"Pótkocsi";"6"
"AANGANGWAGER";"12133";"WEYTENS";"60004";"Pótkocsi";"6"
"AANHANGER";"6332";"TYP 3";"32409";"Pótkocsi";"6"
"AANHANGWAGEN";"6333";"AC-5";"32410";"Pótkocsi";"6"
"ABADOS";"6334";"MP-3";"32411";"Pótkocsi";"6"
"A-BAEUMLER";"6335";"PF/11";"32412";"Pótkocsi";"6"
"ABBEY";"5925";"ARCHWAY";"66799";"Pótkocsi";"6"
"ABBEY";"5925";"CARAVAN";"28184";"Pótkocsi";"6"
"ABBEY";"5925";"EXPRESSION";"66775";"Pótkocsi";"6"
"ABBEY";"5925";"GT";"66447";"Pótkocsi";"6"
"ABBEY";"5925";"VOGUE";"66897";"Pótkocsi";"6"
"ABBEY";"5925";"10";"28183";"Pótkocsi";"6"
"ABDERHALDEN";"6336";"BW-2000";"32413";"Pótkocsi";"6"
"ÁBEL";"6337";"ÁP-650";"32414";"Pótkocsi";"6"
"ABI";"6338";"ACE";"66888";"Pótkocsi";"6"
"ABI";"6338";"AWARD";"61226";"Pótkocsi";"6"
"ABI";"6338";"HERALD SPORT";"66289";"Pótkocsi";"6"
